States,bus_2015,bus_2016,bus_2017
Andaman and Nicobar Islands,9.73,0.30,1.25
Andhra Pradesh,70.12,98.78,98.3
Arunachal Pradesh,1.23,0.30,0.00
Assam,14.48,14.29,84.75
Bihar,16.41,75.82,81.91
Chandigarh,10.04,0.30,11.54
Chhattisgarh,62.45,97.32,97.31
Dadra & Nagar Haveli,0.00,1.79,21.88
Daman & Diu,0.00,14.58,28.69
Delhi,37.35,47.62,31.69
Goa,21.74,18.15,57.34
Gujarat,71.14,98.21,97.99
Haryana,40.66,96.95,98.06
Himachal Pradesh,23.95,65.48,87.9
Jammu and Kashmir,5.93,0.30,32.76
Jharkhand,63.09,96.57,98.05
Karnataka,48.50,88.39,96.42
Kerala,22.87,26.97,44.82
Lakshadweep,0.00,0.30,0.00
Madhya Pradesh,62.00,97.01,97.3
Maharashtra,49.43,92.86,92.88
Manipur,0.00,1.19,0.27
Meghalaya,4.38,0.30,0.00
Mizoram,6.37,0.89,3.66
Nagaland,3.41,1.49,14.16
Odisha,52.12,92.73,92.08
Puducherry,17.72,1.49,15.65
Punjab,36.73,91.07,54.36
Rajasthan,61.04,96.43,95.7
Sikkim,7.23,0.60,0.14
Tamil Nadu,44.58,62.80,90.68
Telangana,42.45,98.78,98.28
Tripura,9.29,16.67,22.45
Uttar Pradesh,47.37,84.52,92.89
Uttarakhand,13.36,96.13,94.24
West Bengal,46.90,84.23,94.59
